"ID","Coev","prod"
"N.A","N",6.242778975
"N.B","N",6.087294073
"N.C","N",5.999432717
"N.D","N",6.126993942
"N.E","N",6.339300542
"N.F","N",6.141853057
"N.G","N",6.279432293
"N.H","N",6.422875837
"N.I","N",5.982279638
"N.J","N",6.314789511
"N.K","N",6.363225128
"N.L","N",6.429535129
"C.A","Y",6.218486283
"C.B","Y",5.975335165
"C.C","Y",6.324666135
"C.D","Y",6.279432293
"C.E","Y",6.358485783
"C.F","Y",6.166617614
"C.G","Y",6.234746804
"C.H","Y",6.60371151
"C.I","Y",6.140377042
"C.J","Y",6.301047884
"C.K","Y",6.721081407
"C.L","Y",6.176639173
"M.A","M",6.086774727
"M.B","M",6.079475424
"M.C","M",5.863631176
"M.D","M",5.81711116
"M.E","M",6.094021135
"M.F","M",6.146757431
"M.G","M",6.222576268
"M.H","M",5.942274303
"M.I","M",6.404897825
"M.J","M",6.517375808
"M.K","M",6.097624743
"M.L","M",6.390240667
