"Res.com.ID","Inv.sp","coev","Res.type","rel.fitness"
"A","O","C","Com",1.277116702
"A","V","C","Com",1.39743278
"A","A","C","Com",1.204702691
"A","S","C","Com",1.797133565
"A","P","C","Com",1.070650644
"B","O","C","Com",1.440013304
"B","V","C","Com",1.434789817
"B","A","C","Com",0.715873321
"B","S","C","Com",1.58829469
"B","P","C","Com",1.481885542
"C","O","C","Com",1.351789458
"C","V","C","Com",1.213742697
"C","A","C","Com",1.122982948
"C","S","C","Com",1.784327472
"C","P","C","Com",1.31180161
"D","O","C","Com",1.453766075
"D","V","C","Com",1.608414308
"D","A","C","Com",1.138789626
"D","S","C","Com",1.719591427
"D","P","C","Com",1.326223328
"E","O","C","Com",1.411941468
"E","V","C","Com",1.613118079
"E","A","C","Com",1.308693433
"E","S","C","Com",1.131195022
"E","P","C","Com",1.367209699
"F","O","C","Com",1.458773653
"F","V","C","Com",1.499880733
"F","A","C","Com",1.26109721
"F","S","C","Com",1.80111408
"F","P","C","Com",1.30308035
"G","O","C","Com",1.526641079
"G","V","C","Com",1.307152448
"G","A","C","Com",1.048169913
"G","S","C","Com",1.7154493
"G","P","C","Com",1.251318814
"H","O","C","Com",1.471145358
"H","V","C","Com",1.427483564
"H","A","C","Com",1.310728191
"H","S","C","Com",1.646343995
"H","P","C","Com",1.383105745
"I","O","C","Com",1.324058211
"I","V","C","Com",1.580654725
"I","A","C","Com",1.132701449
"I","S","C","Com",1.677740629
"I","P","C","Com",1.193252843
"J","O","C","Com",1.317515175
"J","V","C","Com",1.63258256
"J","A","C","Com",1.24965156
"J","S","C","Com",1.780156658
"J","P","C","Com",1.207827142
"K","O","C","Com",1.350301583
"K","V","C","Com",1.412096585
"K","A","C","Com",1.325075535
"K","S","C","Com",1.584291917
"K","P","C","Com",1.16396928
"L","O","C","Com",1.37847273
"L","V","C","Com",1.644232566
"L","A","C","Com",1.263005027
"L","S","C","Com",1.638656968
"L","P","C","Com",1.199061712
"A","O","M","Mono",1.331866553
"A","V","M","Mono",1.40859451
"A","A","M","Mono",0.905513325
"A","S","M","Mono",1.446008524
"A","P","M","Mono",1.429293731
"B","O","M","Mono",1.322678951
"B","V","M","Mono",1.562851273
"B","A","M","Mono",1.399551637
"B","S","M","Mono",1.045517611
"B","P","M","Mono",1.27993713
"C","O","M","Mono",1.469738266
"C","V","M","Mono",1.223979923
"C","A","M","Mono",1.400343085
"C","S","M","Mono",0.965970212
"C","P","M","Mono",1.39963527
"D","O","M","Mono",1.364826581
"D","V","M","Mono",1.768900124
"D","A","M","Mono",1.137248915
"D","S","M","Mono",1.540007646
"D","P","M","Mono",1.435601983
"E","O","M","Mono",1.658613363
"E","V","M","Mono",1.226027413
"E","A","M","Mono",1.024805831
"E","S","M","Mono",1.677392568
"E","P","M","Mono",1.43046306
"F","O","M","Mono",1.317591306
"F","V","M","Mono",1.686165745
"F","A","M","Mono",1.26501471
"F","S","M","Mono",1.34179994
"F","P","M","Mono",1.227233214
"G","O","M","Mono",1.32072248
"G","V","M","Mono",1.433690485
"G","A","M","Mono",1.214280126
"G","S","M","Mono",1.596032508
"G","P","M","Mono",1.263677903
"H","O","M","Mono",1.40023727
"H","V","M","Mono",1.282622135
"H","A","M","Mono",1.108935043
"H","S","M","Mono",1.611385111
"H","P","M","Mono",1.534771458
"I","O","M","Mono",1.300899939
"I","V","M","Mono",0.790272958
"I","A","M","Mono",1.06822736
"I","S","M","Mono",1.842964809
"I","P","M","Mono",1.192612753
"J","O","M","Mono",1.29964094
"J","V","M","Mono",1.212957573
"J","A","M","Mono",1.445122569
"J","S","M","Mono",1.910254612
"J","P","M","Mono",1.272456113
"K","O","M","Mono",1.436728464
"K","V","M","Mono",1.290243339
"K","A","M","Mono",1.188511072
"K","S","M","Mono",1.416765017
"K","P","M","Mono",1.09622868
"L","O","M","Mono",1.631126311
"L","V","M","Mono",1.092626005
"L","A","M","Mono",1.272021553
"L","S","M","Mono",1.38525447
"L","P","M","Mono",1.177346538
